Barra Candidata;Skss (Mva);x;c;v;b
;3500;12,76402583;6,900501624;73,22371341;14,47425371
;4000;11,86473333;6,378306018;70,7553857;13,50381299
;500;8,34288161;62,41131128;9,944363182;3,899698591
;1000;7,550453774;59,74367469;9,011271281;3,539629461
;1500;6,88243597;57,23313891;8,221621874;3,231646996
;2000;6,315712538;54,88628244;7,549951986;2,968184836
;2500;5,830878705;52,69875984;6,97424812;2,741653594
;3000;5,412462391;50,66148096;6,476699101;2,545532946
;3500;5,048308969;48,76358582;6,043190227;2,374495504
;4000;4,728877237;46,99389839;5,66257765;2,224260917
;500;4,359721555;47,30925266;5,110022756;1,919315394
;1000;2,867276474;32,08618742;3,353390448;1,252443111
;1500;2,135055;24,26050403;2,49421185;0,928878798
;2000;1,700471728;19,49964918;1,98515475;0,738011869
;2500;1,412790837;16,29935;1,648546047;0,612156159
;3000;1,20832389;14,00079911;1,409488016;0,52294753
;3500;1,055538657;12,27010793;1,230956418;0,456420531
;4000;0,937043783;10,92005573;1,092553968;0,404903515
;500;24,52513478;14,0136968;68,00809257;26,03948734
;1000;22,65777212;12,67930211;66,34493605;24,33615439
;1500;21,04253511;11,56764004;64,72334128;22,82948828
;2000;19,63489653;10,62978077;63,15392366;21,49077702
;2500;18,39907717;9,829264485;61,6413758;20,29537574
;3000;17,30649619;9,138738805;60,18713249;19,22260047
;3500;16,3342694;8,537442822;58,79079749;18,25522125
;4000;15,46396559;8,009410438;57,45094342;17,37889525
;500;25,04850514;14,06814626;65,17880167;25,07494073
;1000;22,79101857;12,52973854;62,20408469;23,00717597
;1500;20,89757137;11,28767157;59,46189414;21,24541769
;2000;19,28928313;10,26579446;56,9343698;19,72900925
;2500;17,90761011;9,411305726;54,60192373;18,41140425
;3000;16,70857079;8,686723132;52,44557602;17,25668517
;3500;15,6586487;8,064821579;50,44782837;16,23686495
;4000;14,73193284;7,52540341;48,59291577;15,32989412
